기간,한국 수출금액,한국의대중국수출,한국의대미국수출,한국의대베트남수출,한국의대홍콩수출,한국의대일본수출
2014-01,45559632455 ,11482347663 ,4856161763 ,1733302937 ,1936612945 ,2810869830 
2014-02,42911734549 ,10757677300 ,4664001383 ,1732673534 ,1976298786 ,2607399996 
2014-03,49064391958 ,12186981771 ,5814181509 ,2095882609 ,2278012933 ,2783089468 
2014-04,50267447896 ,12410094981 ,6376333605 ,1815755823 ,2267187304 ,2717013724 
2014-05,47577182544 ,11305150046 ,6058690822 ,1693661598 ,2288314203 ,2705134747 
2014-06,47827709150 ,11278077647 ,6086843865 ,1706981559 ,2425874004 ,2563081096 
2014-07,48204545437 ,11960508236 ,6102797915 ,1802428926 ,2190757142 ,2992685837 
2014-08,46108369810 ,11984392777 ,5318312342 ,1698774582 ,2280062413 ,2520905828 
2014-09,47446217249 ,12700145881 ,5664961041 ,1886505548 ,2298876025 ,2702707335 
2014-10,51630656639 ,13586043899 ,6798528015 ,2138138208 ,2394180476 ,2888627157 
2014-11,46605342145 ,12471043145 ,6304664359 ,1943242632 ,2500868662 ,2499017437 
2014-12,49461377231 ,13165237867 ,6239395215 ,2104342475 ,2419357232 ,2393255279 
2015-01,45105389265 ,12083947251 ,5561545397 ,2163835578 ,2170483312 ,2251306583 
2015-02,41472190637 ,9927641709 ,5021263686 ,1967141454 ,1810259426 ,2000724388 
2015-03,46822771337 ,11868032003 ,6795063949 ,2443344217 ,2545223968 ,2127216181 
2015-04,46221931023 ,11765636558 ,6204676220 ,2461287388 ,2650179906 ,2380418820 
2015-05,42327311014 ,10927132581 ,5623941107 ,2244149446 ,2559831406 ,2331637206 
2015-06,46554511646 ,11348693390 ,6503943777 ,2431976418 ,2491014663 ,2230059347 
2015-07,45695746774 ,11180020902 ,6184651985 ,2633166079 ,2630865243 ,2126238228 
2015-08,39107399172 ,10883915001 ,5059167395 ,2245105335 ,2487845003 ,1870364846 
2015-09,43432312357 ,12045381267 ,5464307094 ,2391607104 ,2739692229 ,2037366882 
2015-10,43352045560 ,12493015151 ,6011443155 ,2403076655 ,2607539279 ,2138398052 
2015-11,44285051775 ,11610771237 ,5519654833 ,2179078681 ,2839574119 ,2022536098 
2015-12,42379842806 ,10989746843 ,5882444203 ,2206982022 ,2885669933 ,2060240639 
2016-01,36260420221 ,9480539843 ,5040734289 ,1984725205 ,2113289285 ,1792002099 
2016-02,35924540736 ,8641814638 ,5222510363 ,2318556319 ,2170208859 ,1696096821 
2016-03,43002467958 ,10420521589 ,6544965121 ,2783409035 ,2328129379 ,2050548563 
2016-04,41081552585 ,9613431316 ,5823758110 ,2770462931 ,2431256512 ,1776555240 
2016-05,39733793730 ,9928386074 ,5669349924 ,2647731803 ,2657286566 ,2041330727 
2016-06,45209071390 ,10182598463 ,6053158794 ,2668363452 ,3031084615 ,2150804229 
2016-07,40881700213 ,10133979815 ,5290588215 ,2817810509 ,2774938756 ,2067444554 
2016-08,40124791131 ,10304261781 ,4818513003 ,2750599586 ,3230570357 ,2010573951 
2016-09,40846251917 ,10953271210 ,5132437801 ,2796647436 ,2865856800 ,2168024802 
2016-10,41983329283 ,11088002164 ,5401982445 ,2886439219 ,2961774667 ,2103254471 
2016-11,45309140839 ,11632780853 ,5723085819 ,3015087934 ,2954781070 ,2275226906 
2016-12,45068879634 ,12053353493 ,5741228102 ,3190623874 ,3263272175 ,2223174096 
2017-01,40256999916 ,10754709285 ,4940100924 ,2791265431 ,2721286087 ,2130047971 
2017-02,43166536042 ,11118131308 ,5312452585 ,3181296752 ,2854472744 ,2044853150 
2017-03,48637831863 ,11655510517 ,6200928199 ,4330456598 ,3223394812 ,2395932082 
2017-04,50843799013 ,10589663918 ,6035663101 ,4517085112 ,2828098062 ,2108329954 
2017-05,44926979168 ,10652551536 ,5523901512 ,4153353121 ,2873922510 ,2182625743 
2017-06,51272451919 ,10675442357 ,5980992263 ,4318913195 ,3198026020 ,2350968919 
2017-07,48830439652 ,10791084082 ,5660933992 ,3636567276 ,2903504016 ,2162170436 
2017-08,47105568514 ,11912498857 ,5952843871 ,3754935066 ,3287457730 ,2107245781 
2017-09,55115239696 ,13540682915 ,6597924202 ,4734487418 ,3828534234 ,2516087938 
2017-10,44791238727 ,12580473717 ,4726842191 ,3864652296 ,3657235729 ,1847998975 
2017-11,49707196884 ,14000887074 ,6381591389 ,4411512124 ,3751698650 ,2520013186 
2017-12,49040139428 ,13848364137 ,5295553358 ,4059314859 ,3984650207 ,2449866992 
2018-01,49221290908 ,13381305014 ,5159690617 ,4277334440 ,3429413331 ,2583914212 
2018-02,44523529594 ,11522664092 ,4682547672 ,3627831822 ,3032519739 ,2446179743 
2018-03,51309931550 ,13576667103 ,6078616405 ,4196644652 ,4122520611 ,2603449960 
2018-04,49850235277 ,13034964359 ,5942113553 ,3724493793 ,3838410014 ,2482756392 
2018-05,50687749864 ,13851899898 ,6153032588 ,3781174443 ,4237216652 ,2513782252 
2018-06,51079375327 ,13814240920 ,6421517754 ,3934797470 ,4363034750 ,2578912716 
2018-07,51810254527 ,13721233127 ,6151681428 ,3915009646 ,4150645518 ,2542258168 
2018-08,51180449254 ,14401521303 ,6048101982 ,4353160159 ,4076287662 ,2409639571 
2018-09,50650208140 ,14590529300 ,5821080858 ,3946877918 ,4903221049 ,2469036724 
2018-10,54860309595 ,14767040501 ,6980163813 ,4248685490 ,3869674845 ,2764707751 
2018-11,51479529532 ,13558761072 ,6840970688 ,4520135567 ,3104349754 ,2707330806 
2018-12,48206793082 ,11904228702 ,6440414832 ,4095952159 ,2869147063 ,2426612069 
2019-01,46168934249 ,10836336432 ,6209466480 ,4025559711 ,2217703931 ,2617332541 
2019-02,39481803311 ,9532194006 ,5442457412 ,3576740231 ,2311680172 ,2296310001 
2019-03,47003206185 ,11442780896 ,6319152288 ,4065313919 ,3266774709 ,2261652259 
2019-04,48781156049 ,12429813199 ,6158443400 ,4197071755 ,2591788494 ,2277192076 
2019-05,45703948228 ,11014512679 ,6500300797 ,3648722440 ,2944595164 ,2533489284 
2019-06,44008404018 ,10422956041 ,6249176071 ,3589371927 ,2871892240 ,2255618857 
2019-07,46078221134 ,11444066676 ,6113229620 ,4220824208 ,2761539257 ,2545211759 
2019-08,44020065156 ,11287793374 ,5619802922 ,4484556281 ,2578175500 ,2243164653 
2019-09,44629052707 ,11362385855 ,5690676178 ,4229158129 ,2825991654 ,2310566270 
2019-10,46648756033 ,12243753683 ,6357758160 ,4209044967 ,2478883744 ,2372581195 
2019-11,44040721772 ,11888954728 ,6265034318 ,4052033453 ,2454636357 ,2410613103 
2019-12,45668341127 ,12296985639 ,6418400063 ,3879351714 ,2609214538 ,2296481406 
2020-01,43103060857 ,9642031236 ,5740347386 ,4081500059 ,2193755203 ,2434952964 
2020-02,40911818805 ,8824933471 ,5931571874 ,3931516792 ,2546965586 ,2265044812 
2020-03,46167203855 ,10643503407 ,7281215108 ,3998333951 ,3172786959 ,2485052839 
2020-04,36270182837 ,10151494828 ,5277225836 ,2713976274 ,2379361597 ,1984660364 
2020-05,34854511400 ,10743735243 ,4589357750 ,2917842478 ,2362302297 ,1781736895 
2020-06,39214070630 ,11443239696 ,5735514639 ,3503966589 ,2337610130 ,1849842809 
2020-07,42785144050 ,11726183448 ,6596978783 ,4203037693 ,2034337542 ,1999257195 
2020-08,39469230580 ,10937537712 ,5581925095 ,4107144926 ,2150968919 ,1761392723 
2020-09,47819947522 ,12185274325 ,6997553830 ,4796012203 ,3005224076 ,2156620830 
2020-10,44818534427 ,11527355549 ,6562208994 ,4508943206 ,2731820714 ,1924047355 
2020-11,45751883232 ,12029854423 ,6664272439 ,4506085066 ,2635980263 ,2122869801 
2020-12,51332449396 ,12710301396 ,7157647338 ,5242213207 ,3102676601 ,2332172653 
2021-01,48006973697 ,11787036611 ,8412354594 ,4642317898 ,2441564805 ,2237046015 
2021-02,44706906918 ,11208799453 ,6396234633 ,3907994035 ,2516268543 ,2191909157 
2021-03,53690914321 ,13408119054 ,7970755898 ,4207078759 ,3402418498 ,2415077031 
2021-04,51225991397 ,13401058327 ,7557229358 ,4334987144 ,2985366252 ,2489524820 
2021-05,50725161248 ,13246809078 ,7448015955 ,4167818891 ,3093419795 ,2361626618 
2021-06,54778904949 ,13070490087 ,8717226261 ,4581970971 ,3471242070 ,2597105443 
2021-07,55461518159 ,13586374429 ,8724015829 ,4934034094 ,2872361283 ,2565013671 
2021-08,53165103786 ,13881327880 ,7704223847 ,4850337611 ,3415828590 ,2522980082 
2021-09,55913862375 ,14291980345 ,7983934107 ,5101701490 ,3852088155 ,2541017857 
2021-10,55660372637 ,14415867215 ,8066782602 ,4904971459 ,2739662629 ,2614683864 
2021-11,60330542263 ,15272549044 ,8133640339 ,5478296945 ,3232583381 ,2813250497 
2021-12,60734116670 ,15342562681 ,8787542044 ,5617022808 ,3444272573 ,2712571429 
